parameter,fraction,t,classifcation,trout_class,type,use,water_type,threshold,direction
total_coliform,total,percent,aa,all,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,80,>=
total_coliform,total,cfu/100ml,a-special,all,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,1000,<=
total_coliform,total,cfu/100ml,d,all,none,fishing,flow; pond,2400,<=
total_coliform,total,cfu/100ml, c,all,none,fishing,flow; pond,2400,<=
total_coliform,total,percent,d,all,none,fishing,flow; pond,80,>=
total_coliform,total,percent, c,all,none,fishing,flow; pond,80,>=
total_coliform,total,cfu/100ml,b,all,none,primary contact recreation; secondary contact recreation,flow; pond,2400,<=
total_coliform,total,percent,b,all,none,primary contact recreation; secondary contact recreation,flow; pond,80,>=
total_coliform,total,cfu/100ml,a,all,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,2400,<=
total_coliform,total,percent,a,all,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,80,>=
total_coliform,total,cfu/100ml,sd,none,none,fishing,flow,2400,<=
total_coliform,total,cfu/100ml, sc,none,none,fishing,flow,2400,<=
total_coliform,total,percent,sd,none,none,fishing,flow,80,>=
total_coliform,total,percent, sc,none,none,fishing,flow,80,>=
total_coliform,total,cfu/100ml,i,none,none,fishing; secondary contact recreation,flow,2400,<=
total_coliform,total,percent,i,none,none,fishing; secondary contact recreation,flow,80,>=
total_coliform,total,cfu/100ml,sb,none,none,fishing; secondary contact recreation; primary contact recreation,flow,2400,<=
total_coliform,total,percent,sb,none,none,fishing; secondary contact recreation; primary contact recreation,flow,80,>=
total_coliform,total,cfu/100ml,sa,none,none,shellfishing,flow,70,<=
zinc,dissolved,ug/l,c,all,aquatic_chronic,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, b,all,aquatic_chronic,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, a,all,aquatic_chronic,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, a-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, aa,all,aquatic_chronic,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, aa-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l,d,all,aquatic_acute,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, c,all,aquatic_acute,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, b,all,aquatic_acute,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, a,all,aquatic_acute,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, a-special,all,aquatic_acute,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, aa,all,aquatic_acute,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l, aa-special,all,aquatic_acute,fishing,flow; pond,NA,<=
zinc,dissolved,ug/l,sc,none,aquatic_chronic,fishing,flow,66,<=
zinc,dissolved,ug/l, i,none,aquatic_chronic,fishing,flow,66,<=
zinc,dissolved,ug/l, sb,none,aquatic_chronic,fishing,flow,66,<=
zinc,dissolved,ug/l, sa,none,aquatic_chronic,fishing,flow,66,<=
zinc,dissolved,ug/l,sd,none,aquatic_acute,fishing,flow,95,<=
