parameter,fraction,t,classifcation,trout_class,type,use,water_type,threshold,direction
cadmium,dissolved,ug/l, sa,none,aquatic_chronic,fishing,flow,7.7,<=
chloride,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,250000,<=
chloride,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,250000,<=
chloride,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,250000,<=
chloride,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,250000,<=
copper,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,200,<=
copper,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,200,<=
copper,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,200,<=
copper,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,200,<=
copper,dissolved,ug/l,c,all,aquatic_chronic,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, b,all,aquatic_chronic,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, a,all,aquatic_chronic,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, a-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, aa,all,aquatic_chronic,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, aa-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
copper,dissolved,ug/l,d,all,aquatic_acute,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, c,all,aquatic_acute,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, b,all,aquatic_acute,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, a,all,aquatic_acute,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, a-special,all,aquatic_acute,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, aa,all,aquatic_acute,fishing,flow; pond,NA,<=
copper,dissolved,ug/l, aa-special,all,aquatic_acute,fishing,flow; pond,NA,<=
dissolved_oxygen,dissolved,mg/l,c,trout,none,fishing,flow; pond,6,>=
dissolved_oxygen,dissolved,mg/l,c,trout,none,fishing,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l,b,trout,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,6,>=
dissolved_oxygen,dissolved,mg/l,b,trout,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l,a,trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,6,>=
dissolved_oxygen,dissolved,mg/l, aa,trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,6,>=
dissolved_oxygen,dissolved,mg/l, aa-special,trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,6,>=
