parameter,fraction,units,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,type,use,water_type,standard_type,narrative,wqs_threshold,wqs_threshold_formula,wqs_threshold_x_column,wqs_threshold_y_column,statistic,min_n,block,direction,threshold,t,summarize_rows,summarize_rows_operator,classification,calculation
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,a,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,a-special,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,aa,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,aa-special,
"nitrogen, ammonia (as n)",total,ug/l,d,fresh,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,d,
"nitrogen, ammonia (as n)",total,ug/l,sd; sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3; 230 ug/L,none,,none,none,none,1,single,<=,230,ug/l,FALSE,,sd,
"nitrogen, ammonia (as n)",total,ug/l,sd; sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3; 230 ug/L,none,,none,none,none,1,single,<=,230,ug/l,FALSE,,sc,
"nitrogen, ammonia (as n)",total,ug/l,sd; sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3; 230 ug/L,none,,none,none,none,1,single,<=,230,ug/l,FALSE,,i,
"nitrogen, ammonia (as n)",total,ug/l,sd; sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3; 230 ug/L,none,,none,none,none,1,single,<=,230,ug/l,FALSE,,sb,
"nitrogen, ammonia (as n)",total,ug/l,sd; sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3; 230 ug/L,none,,none,none,none,1,single,<=,230,ug/l,FALSE,,sa,
"nitrogen, ammonia (as n)",total,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3. 35 ug/L,none,,none,none,none,1,single,<=,35,ug/l,FALSE,,sc,
"nitrogen, ammonia (as n)",total,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3. 35 ug/L,none,,none,none,none,1,single,<=,35,ug/l,FALSE,,i,
"nitrogen, ammonia (as n)",total,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3. 35 ug/L,none,,none,none,none,1,single,<=,35,ug/l,FALSE,,sb,
"nitrogen, ammonia (as n)",total,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3. 35 ug/L,none,,none,none,none,1,single,<=,35,ug/l,FALSE,,sa,
arsenic,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,50 ug/L,none,,none,none,none,1,single,<=,50,ug/l,FALSE,,a,
