SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_ID,Date,SEIH_YSI_METER_ID,PARAMETER_NAME,PCODE,RESULT,unit,QLFR_NOTE,VALIDATOR_QUAL,VALIDATOR_QUAL_REASON,VALIDATION_DATE
12353,06-WILK-0.2_20080807,06-WILK-0.2,8/7/2008,,DISSOLVED_OXYGEN,U00300,12.1,mg/L,,,,
12354,06-WILK-0.2_20080807,06-WILK-0.2,8/7/2008,,PH,U00400,7.9,std units,,,,
12355,06-WILK-0.2_20080807,06-WILK-0.2,8/7/2008,,PCT_SATURATION,U00301,132,%,,,,
12356,06-WILS-0.1_20030912,06-WILS-0.1,9/12/2003,,TEMPERATURE,U00010,16.1,deg C,,,,
12357,06-WILS-0.1_20030912,06-WILS-0.1,9/12/2003,,CONDUCTANCE,U00094,121,uS/cm,,,,
12358,06-WILS-0.1_20030912,06-WILS-0.1,9/12/2003,,DISSOLVED_OXYGEN,U00300,7.4,mg/L,,,,
12359,06-WILS-0.1_20030912,06-WILS-0.1,9/12/2003,,PH,U00400,6.7,std units,,,,
12360,06-WILS-0.1_20030912,06-WILS-0.1,9/12/2003,,SALINITY,U00480,0.05,ppt,,,,
12361,06-WILV-3.8_20030911,06-WILV-3.8,9/11/2003,,TEMPERATURE,U00010,19.3,deg C,,,,
12362,06-WILV-3.8_20030911,06-WILV-3.8,9/11/2003,,CONDUCTANCE,U00094,250,uS/cm,,,,
12363,06-WILV-3.8_20030911,06-WILV-3.8,9/11/2003,,DISSOLVED_OXYGEN,U00300,8.3,mg/L,,,,
12364,06-WILV-3.8_20030911,06-WILV-3.8,9/11/2003,,PH,U00400,7.5,std units,,,,
12365,06-WILV-3.8_20030911,06-WILV-3.8,9/11/2003,,SALINITY,U00480,0.12,ppt,,,,
12366,06-WYLI-0.7_19970910,06-WYLI-0.7,9/10/1997,,TEMPERATURE,U00010,16.2,deg C,,,,
12367,06-WYLI-0.7_19970910,06-WYLI-0.7,9/10/1997,,CONDUCTANCE,U00094,110,uS/cm,,,,
12368,06-WYLI-0.7_19970910,06-WYLI-0.7,9/10/1997,,DISSOLVED_OXYGEN,U00300,8.4,mg/L,,,,
12369,06-WYLI-0.7_19970910,06-WYLI-0.7,9/10/1997,,PH,U00400,7.7,std units,,,,
12370,06-YALE-3.4_20180809,06-YALE-3.4,8/9/2018,,TEMPERATURE,U00010,20,deg C,,,,
12371,06-YALE-3.4_20180809,06-YALE-3.4,8/9/2018,,CONDUCTANCE,U00094,97,uS/cm,,,,
12372,06-YALE-3.4_20180809,06-YALE-3.4,8/9/2018,,DISSOLVED_OXYGEN,U00300,9.3,mg/L,,,,
12373,06-YALE-3.4_20180809,06-YALE-3.4,8/9/2018,,PH,U00400,7.43,std units,,,,
12374,06-YALE-3.4_20180809,06-YALE-3.4,8/9/2018,,PCT_SATURATION,U00301,100,%,,,,
12375,06-YALE-3.4_20180809,06-YALE-3.4,8/9/2018,,SALINITY,U00480,0.05,ppt,,,,
12376,06-YALE-4.5_20080806,06-YALE-4.5,8/6/2008,,TEMPERATURE,U00010,19.47,deg C,,,,
12377,06-YALE-4.5_20080806,06-YALE-4.5,8/6/2008,,CONDUCTANCE,U00094,74,uS/cm,,,,
12378,06-YALE-4.5_20080806,06-YALE-4.5,8/6/2008,,DISSOLVED_OXYGEN,U00300,8.2,mg/L,,,,
12379,06-YALE-4.5_20080806,06-YALE-4.5,8/6/2008,,PH,U00400,6.7,std units,,,,
12380,06-YALE-4.5_20080806,06-YALE-4.5,8/6/2008,,PCT_SATURATION,U00301,89,%,,,,
12381,06-YALE-4.5_20080806,06-YALE-4.5,8/6/2008,,SALINITY,U00480,0.03,ppt,,,,
12382,06-YALE-5.4_20180809,06-YALE-5.4,8/9/2018,,TEMPERATURE,U00010,19.8,deg C,,,,
12383,06-YALE-5.4_20180809,06-YALE-5.4,8/9/2018,,CONDUCTANCE,U00094,97,uS/cm,,,,
12384,06-YALE-5.4_20180809,06-YALE-5.4,8/9/2018,,DISSOLVED_OXYGEN,U00300,8.9,mg/L,,,,
12385,06-YALE-5.4_20180809,06-YALE-5.4,8/9/2018,,PH,U00400,7.67,std units,,,,
12386,06-YALE-5.4_20180809,06-YALE-5.4,8/9/2018,,PCT_SATURATION,U00301,102,%,,,,
12387,06-YALE-5.4_20180809,06-YALE-5.4,8/9/2018,,SALINITY,U00480,0.05,ppt,,,,
12388,07-AIND-1.6_20180801,07-AIND-1.6,8/1/2018,,TEMPERATURE,U00010,20.9,deg C,,,,
12389,07-AIND-1.6_20180801,07-AIND-1.6,8/1/2018,,CONDUCTANCE,U00094,606,uS/cm,,,,
12390,07-AIND-1.6_20180801,07-AIND-1.6,8/1/2018,,DISSOLVED_OXYGEN,U00300,8.8,mg/L,,,,
12391,07-AIND-1.6_20180801,07-AIND-1.6,8/1/2018,,PH,U00400,8.19,std units,,,,
12392,07-AIND-1.6_20180801,07-AIND-1.6,8/1/2018,,PCT_SATURATION,U00301,100,%,,,,
12393,07-AIND-1.6_20180801,07-AIND-1.6,8/1/2018,,SALINITY,U00480,0.29,ppt,,,,
12394,07-ALDC-0.1_19890802,07-ALDC-0.1,8/2/1989,,TEMPERATURE,U00010,25.5,deg C,,,,
12395,07-ALDC-0.1_19890802,07-ALDC-0.1,8/2/1989,,CONDUCTANCE,U00094,800,uS/cm,,,,
12396,07-ALDC-0.1_19890802,07-ALDC-0.1,8/2/1989,,DISSOLVED_OXYGEN,U00300,9.3,mg/L,,,,
12397,07-ALDC-0.1_20060725,07-ALDC-0.1,7/25/2006,,TEMPERATURE,U00010,20,deg C,,,,
12398,07-ALDC-0.1_20060725,07-ALDC-0.1,7/25/2006,,CONDUCTANCE,U00094,66,uS/cm,,,,
12399,07-ALDC-0.1_20060725,07-ALDC-0.1,7/25/2006,,DISSOLVED_OXYGEN,U00300,10.4,mg/L,,,,
12400,07-ALDC-0.1_20060725,07-ALDC-0.1,7/25/2006,,PH,U00400,7.8,std units,,,,
12401,07-ALDC-0.1_20160712,07-ALDC-0.1,7/12/2016,,TEMPERATURE,U00010,22.1,deg C,,,,
12402,07-ALDC-0.1_20160712,07-ALDC-0.1,7/12/2016,,CONDUCTANCE,U00094,68,uS/cm,,,,
12403,07-ALDC-0.1_20160712,07-ALDC-0.1,7/12/2016,,DISSOLVED_OXYGEN,U00300,8.5,mg/L,,,,
12404,07-ALDC-0.1_20160712,07-ALDC-0.1,7/12/2016,,PH,U00400,8.1,std units,,,,
12405,07-ALDC-0.1_20160712,07-ALDC-0.1,7/12/2016,,PCT_SATURATION,U00301,102,%,,,,
12406,07-ALDC-0.1_20160712,07-ALDC-0.1,7/12/2016,,SALINITY,U00480,0.03,ppt,,,,
12407,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,TEMPERATURE,U00010,18.9,deg C,,,,
12408,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,CONDUCTANCE,U00094,189.2,uS/cm,,,,
12409,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,DISSOLVED_OXYGEN,U00300,9.51,mg/L,,,,
12410,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,PH,U00400,8.02,std units,,,,
12411,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,PCT_SATURATION,U00301,101.7,%,,,,
12412,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,SALINITY,U00480,0.09,ppt,,,,
12413,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,Chl_ugL,U32316,14.28,ug/L,,,,
12414,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,Chl_RFU,U32315,2.95,RFU,,,,
12415,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,PC_ugL,U32319,2.04,ug/L,,,,
12416,07-BGST-0.1_20190620,07-BGST-0.1,6/20/2019,,PC_RFU,U32321,2.06,RFU,,,,
12417,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,TEMPERATURE,U00010,21.7,deg C,,,,
12418,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,CONDUCTANCE,U00094,353,uS/cm,,,,
12419,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,DISSOLVED_OXYGEN,U00300,8.94,mg/L,,,,
12420,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,PH,U00400,8.95,std units,,,,
12421,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,PCT_SATURATION,U00301,101.7,%,,,,
12422,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,SALINITY,U00480,0.17,ppt,,,,
12423,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,Chl_ugL,U32316,5.5,ug/L,,,,
12424,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,Chl_RFU,U32315,1.5,RFU,,,,
12425,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,PC_ugL,U32319,0.19,ug/L,,,,
12426,07-BGST-0.1_20190718,07-BGST-0.1,7/18/2019,,PC_RFU,U32321,0.23,RFU,,,,
12427,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,TEMPERATURE,U00010,19.1,deg C,,,,
12428,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,CONDUCTANCE,U00094,567,uS/cm,,,,
12429,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,DISSOLVED_OXYGEN,U00300,9.84,mg/L,,,,
12430,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,PH,U00400,8.69,std units,,,,
12431,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,PCT_SATURATION,U00301,106.5,%,,,,
12432,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,SALINITY,U00480,0.28,ppt,,,,
12433,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,Chl_ugL,U32316,2.4,ug/L,,,,
12434,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,Chl_RFU,U32315,0.65,RFU,,,,
12435,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,PC_ugL,U32319,0.2,ug/L,,,,
12436,07-BGST-0.1_20190815,07-BGST-0.1,8/15/2019,,PC_RFU,U32321,0.2,RFU,,,,
12437,07-BGST-6.1_20010822,07-BGST-6.1,8/22/2001,,TEMPERATURE,U00010,22.2,deg C,,,,
12438,07-BGST-6.1_20010822,07-BGST-6.1,8/22/2001,,CONDUCTANCE,U00094,444,uS/cm,,,,
12439,07-BGST-6.1_20010822,07-BGST-6.1,8/22/2001,,DISSOLVED_OXYGEN,U00300,9.6,mg/L,,,,
12440,07-BGST-6.1_20010822,07-BGST-6.1,8/22/2001,,PH,U00400,7.87,std units,,,,
12441,07-BGST-6.1_20060725,07-BGST-6.1,7/25/2006,,TEMPERATURE,U00010,22.3,deg C,,,,
12442,07-BGST-6.1_20060725,07-BGST-6.1,7/25/2006,,CONDUCTANCE,U00094,300,uS/cm,,,,
12443,07-BGST-6.1_20060725,07-BGST-6.1,7/25/2006,,DISSOLVED_OXYGEN,U00300,10.2,mg/L,,,,
12444,07-BGST-6.1_20060725,07-BGST-6.1,7/25/2006,,PH,U00400,8.27,std units,,,,
12445,07-BLAN-0.4_20060726,07-BLAN-0.4,7/26/2006,,TEMPERATURE,U00010,21.4,deg C,,,,
12446,07-BLAN-0.4_20060726,07-BLAN-0.4,7/26/2006,,CONDUCTANCE,U00094,92,uS/cm,,,,
12447,07-BLAN-0.4_20060726,07-BLAN-0.4,7/26/2006,,DISSOLVED_OXYGEN,U00300,9.9,mg/L,,,,
12448,07-BLAN-0.4_20060726,07-BLAN-0.4,7/26/2006,,PH,U00400,7.4,std units,,,,
12449,07-BLBT_T1-0.6_19900625,07-BLBT_T1-0.6,6/25/1990,,TEMPERATURE,U00010,19,deg C,,,,
12450,07-BLBT_T1-0.6_19900625,07-BLBT_T1-0.6,6/25/1990,,CONDUCTANCE,U00094,700,uS/cm,,,,
12451,07-BLBT_T1-0.6_19900625,07-BLBT_T1-0.6,6/25/1990,,DISSOLVED_OXYGEN,U00300,8.8,mg/L,,,,
12452,07-BLDY-0.1_19900625,07-BLDY-0.1,6/25/1990,,TEMPERATURE,U00010,21,deg C,,,,
12453,07-BLDY-0.1_19900625,07-BLDY-0.1,6/25/1990,,CONDUCTANCE,U00094,700,uS/cm,,,,
12454,07-BLDY-0.1_19900625,07-BLDY-0.1,6/25/1990,,DISSOLVED_OXYGEN,U00300,8.2,mg/L,,,,
12455,07-BLDY-0.1_20010905,07-BLDY-0.1,9/5/2001,,TEMPERATURE,U00010,20,deg C,,,,
12456,07-BLDY-0.1_20010905,07-BLDY-0.1,9/5/2001,,CONDUCTANCE,U00094,912,uS/cm,,,,
12457,07-BLDY-0.1_20010905,07-BLDY-0.1,9/5/2001,,DISSOLVED_OXYGEN,U00300,10.5,mg/L,,,,
12458,07-BLDY-0.1_20010905,07-BLDY-0.1,9/5/2001,,PH,U00400,8.5,std units,,,,
12459,07-BLDY-0.1_20060727,07-BLDY-0.1,7/27/2006,,TEMPERATURE,U00010,21,deg C,,,,
12460,07-BLDY-0.1_20060727,07-BLDY-0.1,7/27/2006,,CONDUCTANCE,U00094,1733,uS/cm,,,,
12461,07-BLDY-0.1_20060727,07-BLDY-0.1,7/27/2006,,DISSOLVED_OXYGEN,U00300,10.3,mg/L,,,,
12462,07-BLDY-0.1_20060727,07-BLDY-0.1,7/27/2006,,PH,U00400,8,std units,,,,
12463,07-BLDY-0.1_20080625,07-BLDY-0.1,6/25/2008,,TEMPERATURE,U00010,17.22,deg C,,,,
12464,07-BLDY-0.1_20080625,07-BLDY-0.1,6/25/2008,,CONDUCTANCE,U00094,1758,uS/cm,,,,
12465,07-BLDY-0.1_20080625,07-BLDY-0.1,6/25/2008,,DISSOLVED_OXYGEN,U00300,9.67,mg/L,,,,
12466,07-BLDY-0.1_20080625,07-BLDY-0.1,6/25/2008,,PH,U00400,8.04,std units,,,,
12467,07-BLDY-0.1_20080625,07-BLDY-0.1,6/25/2008,,PCT_SATURATION,U00301,101,%,,,,
12468,07-BLDY-0.1_20160713,07-BLDY-0.1,7/13/2016,,TEMPERATURE,U00010,20.2,deg C,,,,
12469,07-BLDY-0.1_20160713,07-BLDY-0.1,7/13/2016,,CONDUCTANCE,U00094,2592,uS/cm,,,,
12470,07-BLDY-0.1_20160713,07-BLDY-0.1,7/13/2016,,DISSOLVED_OXYGEN,U00300,7.1,mg/L,,,,
12471,07-BLDY-0.1_20160713,07-BLDY-0.1,7/13/2016,,PH,U00400,7.9,std units,,,,
12472,07-BLDY-0.1_20160713,07-BLDY-0.1,7/13/2016,,PCT_SATURATION,U00301,79,%,,,,
12473,07-BLDY-0.1_20160713,07-BLDY-0.1,7/13/2016,,SALINITY,U00480,1.3,ppt,,,,
12474,07-BLKO-0.6_20010912,07-BLKO-0.6,9/12/2001,,TEMPERATURE,U00010,18.9,deg C,,,,
12475,07-BLKO-0.6_20010912,07-BLKO-0.6,9/12/2001,,CONDUCTANCE,U00094,447,uS/cm,,,,
12476,07-BLKO-0.6_20010912,07-BLKO-0.6,9/12/2001,,DISSOLVED_OXYGEN,U00300,5.82,mg/L,,,,
12477,07-BLKO-0.6_20010912,07-BLKO-0.6,9/12/2001,,PH,U00400,7.48,std units,,,,
12478,07-BLKO-0.6_20060726,07-BLKO-0.6,7/26/2006,,TEMPERATURE,U00010,22.2,deg C,,,,
12479,07-BLKO-0.6_20060726,07-BLKO-0.6,7/26/2006,,CONDUCTANCE,U00094,275,uS/cm,,,,
12480,07-BLKO-0.6_20060726,07-BLKO-0.6,7/26/2006,,DISSOLVED_OXYGEN,U00300,5.8,mg/L,,,,
12481,07-BLKO-0.6_20060726,07-BLKO-0.6,7/26/2006,,PH,U00400,7.2,std units,,,,
12482,07-BNUT-20.6_19960716,07-BNUT-20.6,7/16/1996,,TEMPERATURE,U00010,19.3,deg C,,,,
12483,07-BNUT-20.6_19960716,07-BNUT-20.6,7/16/1996,,CONDUCTANCE,U00094,475,uS/cm,,,,
12484,07-BNUT-20.6_19960716,07-BNUT-20.6,7/16/1996,,DISSOLVED_OXYGEN,U00300,8.4,mg/L,,,,
12485,07-BNUT-20.6_19960716,07-BNUT-20.6,7/16/1996,,PH,U00400,8.3,std units,,,,
12486,07-BNUT-20.6_20010913,07-BNUT-20.6,9/13/2001,,TEMPERATURE,U00010,15.6,deg C,,,,
12487,07-BNUT-20.6_20010913,07-BNUT-20.6,9/13/2001,,CONDUCTANCE,U00094,556,uS/cm,,,,
12488,07-BNUT-20.6_20010913,07-BNUT-20.6,9/13/2001,,DISSOLVED_OXYGEN,U00300,9.6,mg/L,,,,
12489,07-BNUT-20.6_20010913,07-BNUT-20.6,9/13/2001,,PH,U00400,7.7,std units,,,,
12490,07-BNUT-20.6_20060727,07-BNUT-20.6,7/27/2006,,TEMPERATURE,U00010,19.53,deg C,,,,
12491,07-BNUT-20.6_20060727,07-BNUT-20.6,7/27/2006,,CONDUCTANCE,U00094,696,uS/cm,,,,
12492,07-BNUT-20.6_20060727,07-BNUT-20.6,7/27/2006,,DISSOLVED_OXYGEN,U00300,9.87,mg/L,,,,
12493,07-BNUT-20.6_20060727,07-BNUT-20.6,7/27/2006,,PH,U00400,7.81,std units,,,,
12494,07-BNUT-20.6_20060727,07-BNUT-20.6,7/27/2006,,SALINITY,U00480,0.36,ppt,,,,
12495,07-BNUT-20.6_20070829,07-BNUT-20.6,8/29/2007,,TEMPERATURE,U00010,19.8,deg C,,,,
12496,07-BNUT-20.6_20070829,07-BNUT-20.6,8/29/2007,,CONDUCTANCE,U00094,563,uS/cm,,,,
12497,07-BNUT-20.6_20070829,07-BNUT-20.6,8/29/2007,,DISSOLVED_OXYGEN,U00300,8.7,mg/L,,,,
12498,07-BNUT-20.6_20070829,07-BNUT-20.6,8/29/2007,,PH,U00400,7.8,std units,,,,
12499,07-BRDY-1.2_20060727,07-BRDY-1.2,7/27/2006,,TEMPERATURE,U00010,25.24,deg C,,,,
12500,07-BRDY-1.2_20060727,07-BRDY-1.2,7/27/2006,,CONDUCTANCE,U00094,479,uS/cm,,,,
12501,07-BRDY-1.2_20060727,07-BRDY-1.2,7/27/2006,,DISSOLVED_OXYGEN,U00300,7.83,mg/L,,,,
12502,07-BRDY-1.2_20060727,07-BRDY-1.2,7/27/2006,,PH,U00400,7.79,std units,,,,
12503,07-BRDY-1.2_20060727,07-BRDY-1.2,7/27/2006,,SALINITY,U00480,0.24,ppt,,,,
12504,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,TEMPERATURE,U00010,18.3,deg C,,,,
12505,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,CONDUCTANCE,U00094,162.7,uS/cm,,,,
12506,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,DISSOLVED_OXYGEN,U00300,9,mg/L,,,,
12507,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,PH,U00400,8.11,std units,,,,
12508,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,PCT_SATURATION,U00301,95.6,%,,,,
12509,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,SALINITY,U00480,0.08,ppt,,,,
12510,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,Chl_ugL,U32316,1.6,ug/L,,,,
12511,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,Chl_RFU,U32315,0.4,RFU,,,,
12512,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,PC_ugL,U32319,0.04,ug/L,,,,
12513,07-BSWP-0.1_20190618,07-BSWP-0.1,6/18/2019,,PC_RFU,U32321,0.06,RFU,,,,
12514,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,TEMPERATURE,U00010,22.4,deg C,,,,
12515,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,CONDUCTANCE,U00094,197.6,uS/cm,,,,
12516,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,DISSOLVED_OXYGEN,U00300,8.36,mg/L,,,,
12517,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,PH,U00400,8.21,std units,,,,
12518,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,PCT_SATURATION,U00301,96.5,%,,,,
12519,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,SALINITY,U00480,0.09,ppt,,,,
12520,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,Chl_ugL,U32316,2.82,ug/L,,,,
12521,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,Chl_RFU,U32315,0.73,RFU,,,,
12522,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,PC_ugL,U32319,0.06,ug/L,,,,
12523,07-BSWP-0.1_20190717,07-BSWP-0.1,7/17/2019,,PC_RFU,U32321,0.06,RFU,,,,
12524,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,TEMPERATURE,U00010,18.6,deg C,,,,
12525,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,CONDUCTANCE,U00094,300.2,uS/cm,,,,
12526,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,DISSOLVED_OXYGEN,U00300,9.03,mg/L,,,,
12527,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,PH,U00400,8.24,std units,,,,
12528,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,PCT_SATURATION,U00301,96.8,%,,,,
12529,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,SALINITY,U00480,0.14,ppt,,,,
12530,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,Chl_ugL,U32316,2.4,ug/L,,,,
12531,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,Chl_RFU,U32315,0.71,RFU,,,,
12532,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,PC_ugL,U32319,0.1,ug/L,,,,
12533,07-BSWP-0.1_20190814,07-BSWP-0.1,8/14/2019,,PC_RFU,U32321,0.11,RFU,,,,
12534,07-BSWP-1.3_19900713,07-BSWP-1.3,7/13/1990,,TEMPERATURE,U00010,21,deg C,,,,
12535,07-BSWP-1.3_19900713,07-BSWP-1.3,7/13/1990,,CONDUCTANCE,U00094,750,uS/cm,,,,
12536,07-BSWP-1.3_19900713,07-BSWP-1.3,7/13/1990,,DISSOLVED_OXYGEN,U00300,10.4,mg/L,,,,
12537,07-BSWP-1.3_20060725,07-BSWP-1.3,7/25/2006,,TEMPERATURE,U00010,23,deg C,,,,
12538,07-BSWP-1.3_20060725,07-BSWP-1.3,7/25/2006,,CONDUCTANCE,U00094,184,uS/cm,,,,
12539,07-BSWP-1.3_20060725,07-BSWP-1.3,7/25/2006,,DISSOLVED_OXYGEN,U00300,9,mg/L,,,,
12540,07-BSWP-1.3_20060725,07-BSWP-1.3,7/25/2006,,PH,U00400,7.9,std units,,,,
12541,07-BSWP-1.3_20060725,07-BSWP-1.3,7/25/2006,,SALINITY,U00480,0.08,ppt,,,,
12542,07-BSWP-1.3_20160713,07-BSWP-1.3,7/13/2016,,TEMPERATURE,U00010,20.23,deg C,,,,
12543,07-BSWP-1.3_20160713,07-BSWP-1.3,7/13/2016,,CONDUCTANCE,U00094,255,uS/cm,,,,
12544,07-BSWP-1.3_20160713,07-BSWP-1.3,7/13/2016,,DISSOLVED_OXYGEN,U00300,8.26,mg/L,,,,
12545,07-BSWP-1.3_20160713,07-BSWP-1.3,7/13/2016,,PH,U00400,8.07,std units,,,,
12546,07-BSWP-1.3_20160713,07-BSWP-1.3,7/13/2016,,PCT_SATURATION,U00301,91.5,%,,,,
12547,07-BSWP-1.3_20160713,07-BSWP-1.3,7/13/2016,,SALINITY,U00480,0.12,ppt,,,,
12548,07-BSWP-1.3_20180731,07-BSWP-1.3,7/31/2018,,TEMPERATURE,U00010,21.4,deg C,,,,
12549,07-BSWP-1.3_20180731,07-BSWP-1.3,7/31/2018,,CONDUCTANCE,U00094,168,uS/cm,,,,
12550,07-BSWP-1.3_20180731,07-BSWP-1.3,7/31/2018,,DISSOLVED_OXYGEN,U00300,8.3,mg/L,,,,
12551,07-BSWP-1.3_20180731,07-BSWP-1.3,7/31/2018,,PH,U00400,8.19,std units,,,,
12552,07-BSWP-1.3_20180731,07-BSWP-1.3,7/31/2018,,PCT_SATURATION,U00301,97,%,,,,
12553,07-BSWP-1.3_20180731,07-BSWP-1.3,7/31/2018,,SALINITY,U00480,0.08,ppt,,,,
12554,07-BUTL-3.5_19800827,07-BUTL-3.5,8/27/1980,,TEMPERATURE,U00010,23,deg C,,,,
12555,07-BUTL-3.5_19800827,07-BUTL-3.5,8/27/1980,,CONDUCTANCE,U00094,600,uS/cm,,,,
12556,07-BUTL-3.5_19800827,07-BUTL-3.5,8/27/1980,,DISSOLVED_OXYGEN,U00300,6.4,mg/L,,,,
12557,07-BUTL-3.5_20110831,07-BUTL-3.5,8/31/2011,,TEMPERATURE,U00010,18.8,deg C,,,,
12558,07-BUTL-3.5_20110831,07-BUTL-3.5,8/31/2011,,CONDUCTANCE,U00094,617,uS/cm,,,,
12559,07-BUTL-3.5_20110831,07-BUTL-3.5,8/31/2011,,DISSOLVED_OXYGEN,U00300,6.94,mg/L,,,,
12560,07-BUTL-3.5_20110831,07-BUTL-3.5,8/31/2011,,PH,U00400,7.94,std units,,,,
12561,07-BUTL-3.5_20110831,07-BUTL-3.5,8/31/2011,,PCT_SATURATION,U00301,66,%,,,,
12562,07-BUTM-0.1_20060725,07-BUTM-0.1,7/25/2006,,TEMPERATURE,U00010,21.8,deg C,,,,
12563,07-BUTM-0.1_20060725,07-BUTM-0.1,7/25/2006,,CONDUCTANCE,U00094,470,uS/cm,,,,
12564,07-BUTM-0.1_20060725,07-BUTM-0.1,7/25/2006,,DISSOLVED_OXYGEN,U00300,9.3,mg/L,,,,
12565,07-BUTM-0.1_20060725,07-BUTM-0.1,7/25/2006,,PH,U00400,7.8,std units,,,,
12566,07-BUTM-0.1_20060725,07-BUTM-0.1,7/25/2006,,SALINITY,U00480,0.24,ppt,,,,
12567,07-BVRK-0.3_20060726,07-BVRK-0.3,7/26/2006,,TEMPERATURE,U00010,22.1,deg C,,,,
12568,07-BVRK-0.3_20060726,07-BVRK-0.3,7/26/2006,,CONDUCTANCE,U00094,587,uS/cm,,,,
12569,07-BVRK-0.3_20060726,07-BVRK-0.3,7/26/2006,,DISSOLVED_OXYGEN,U00300,7,mg/L,,,,
12570,07-BVRK-0.3_20060726,07-BVRK-0.3,7/26/2006,,PH,U00400,7.8,std units,,,,
12571,07-CANA-3.5_20010822,07-CANA-3.5,8/22/2001,,TEMPERATURE,U00010,23.5,deg C,,,,
12572,07-CANA-3.5_20010822,07-CANA-3.5,8/22/2001,,CONDUCTANCE,U00094,784,uS/cm,,,,
12573,07-CANA-3.5_20010822,07-CANA-3.5,8/22/2001,,DISSOLVED_OXYGEN,U00300,9.8,mg/L,,,,
12574,07-CANA-3.5_20010822,07-CANA-3.5,8/22/2001,,PH,U00400,7.85,std units,,,,
12575,07-CANA-3.5_20020820,07-CANA-3.5,8/20/2002,,TEMPERATURE,U00010,24.3,deg C,,,,
12576,07-CANA-3.5_20020820,07-CANA-3.5,8/20/2002,,CONDUCTANCE,U00094,1028,uS/cm,,,,
12577,07-CANA-3.5_20020820,07-CANA-3.5,8/20/2002,,DISSOLVED_OXYGEN,U00300,10.5,mg/L,,,,
12578,07-CANA-3.5_20020820,07-CANA-3.5,8/20/2002,,PH,U00400,8.03,std units,,,,
