SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_ID,Date,SEIH_YSI_METER_ID,PARAMETER_NAME,PCODE,RESULT,unit,QLFR_NOTE,VALIDATOR_QUAL,VALIDATOR_QUAL_REASON,VALIDATION_DATE
45,01-BOUR-0.4_20150805,01-BOUR-0.4,8/5/2015,,PH,U00400,7.84,std units,,,,
46,01-BOUR-0.4_20150805,01-BOUR-0.4,8/5/2015,,PCT_SATURATION,U00301,90.9,%,,,,
47,01-BOWE-5.2_20000913,01-BOWE-5.2,9/13/2000,,TEMPERATURE,U00010,17.24,deg C,,,,
48,01-BOWE-5.2_20000913,01-BOWE-5.2,9/13/2000,,CONDUCTANCE,U00094,605,uS/cm,,,,
49,01-BOWE-5.2_20000913,01-BOWE-5.2,9/13/2000,,DISSOLVED_OXYGEN,U00300,5.03,mg/L,,,,
50,01-BOWE-5.2_20000913,01-BOWE-5.2,9/13/2000,,PH,U00400,7.74,std units,,,,
51,01-BOWE-5.2_20000913,01-BOWE-5.2,9/13/2000,,SALINITY,U00480,0.31,ppt,,,,
52,01-BROC-0.1_20150805,01-BROC-0.1,8/5/2015,,TEMPERATURE,U00010,18.6,deg C,,,,
53,01-BROC-0.1_20150805,01-BROC-0.1,8/5/2015,,CONDUCTANCE,U00094,313,uS/cm,,,,
54,01-BROC-0.1_20150805,01-BROC-0.1,8/5/2015,,DISSOLVED_OXYGEN,U00300,4.1,mg/L,,,,
55,01-BROC-0.1_20150805,01-BROC-0.1,8/5/2015,,PH,U00400,7.12,std units,,,,
56,01-BROC-0.1_20150805,01-BROC-0.1,8/5/2015,,PCT_SATURATION,U00301,43.8,%,,,,
57,01-BSIS-2.0_19930819,01-BSIS-2.0,8/19/1993,,TEMPERATURE,U00010,23.6,deg C,,,,
58,01-BSIS-2.0_19930819,01-BSIS-2.0,8/19/1993,,CONDUCTANCE,U00094,730,uS/cm,,,,
59,01-BSIS-2.0_19930819,01-BSIS-2.0,8/19/1993,,DISSOLVED_OXYGEN,U00300,8.6,mg/L,,,,
60,01-BSIS-2.0_19930819,01-BSIS-2.0,8/19/1993,,PH,U00400,8.3,std units,,,,
61,01-BSIS-2.0_20000913,01-BSIS-2.0,9/13/2000,,TEMPERATURE,U00010,22.5,deg C,,,,
62,01-BSIS-2.0_20000913,01-BSIS-2.0,9/13/2000,,CONDUCTANCE,U00094,370,uS/cm,,,,
63,01-BSIS-2.0_20000913,01-BSIS-2.0,9/13/2000,,DISSOLVED_OXYGEN,U00300,10.3,mg/L,,,,
64,01-BSIS-2.0_20000913,01-BSIS-2.0,9/13/2000,,PH,U00400,9.3,std units,,,,
65,01-BSIS-2.0_20010702,01-BSIS-2.0,7/2/2001,,TEMPERATURE,U00010,17.9,deg C,,,,
66,01-BSIS-2.0_20010702,01-BSIS-2.0,7/2/2001,,CONDUCTANCE,U00094,573,uS/cm,,,,
67,01-BSIS-2.0_20010702,01-BSIS-2.0,7/2/2001,,DISSOLVED_OXYGEN,U00300,8.9,mg/L,,,,
68,01-BSIS-2.0_20010702,01-BSIS-2.0,7/2/2001,,PH,U00400,8,std units,,,,
69,01-BSIS-2.0_20050913,01-BSIS-2.0,9/13/2005,,TEMPERATURE,U00010,18,deg C,,,,
70,01-BSIS-2.0_20050913,01-BSIS-2.0,9/13/2005,,CONDUCTANCE,U00094,626,uS/cm,,,,
71,01-BSIS-2.0_20050913,01-BSIS-2.0,9/13/2005,,DISSOLVED_OXYGEN,U00300,10,mg/L,,,,
72,01-BSIS-2.0_20050913,01-BSIS-2.0,9/13/2005,,PH,U00400,7.7,std units,,,,
73,01-BSIS-2.0_20150805,01-BSIS-2.0,8/5/2015,,TEMPERATURE,U00010,22.8,deg C,,,,
74,01-BSIS-2.0_20150805,01-BSIS-2.0,8/5/2015,,CONDUCTANCE,U00094,525,uS/cm,,,,
75,01-BSIS-2.0_20150805,01-BSIS-2.0,8/5/2015,,DISSOLVED_OXYGEN,U00300,9.1,mg/L,,,,
